上海交通大学,黄兴溢,高电压与绝缘技术,上海交通大学
上海交通大学,王计秋,内科学（内分泌与代谢病）,上海交通大学
上海交通大学,义理林,信号与信息处理,上海交通大学
上海交通大学,袁宇,金融学（含保险学）,上海交通大学
上海交通大学,张何朋,理论物理,上海交通大学
上海交通大学,张健,药物化学,上海交通大学
上海交通大学,张璐璐,岩土工程,上海交通大学
上海交通大学,左小磊,分析化学,上海交通大学
沈阳农业大学,王爱德,果树学,沈阳农业大学
四川大学,杜力力,应用数学,四川大学
四川大学,郭帆,发育生物学,四川大学
四川大学,吕红亮,考古学,四川大学
四川大学,毛康珊,野生动植物保护与利用,四川大学
四川大学,袁泉,口腔临床医学,四川大学
四川大学,周维东,中国现当代文学,四川大学
苏州大学,唐建新,微电子学与固体电子学,苏州大学
苏州大学,张秀娟,材料物理与化学,苏州大学
苏州大学,周芳芳,细胞生物学,苏州大学
天津大学,何春年,材料学,天津大学
天津大学,李炳志,生物化工,天津大学
天津大学,师燕超,结构工程,天津大学
天津大学,宋照亮,地球化学,天津大学
天津大学,王延辉,机械设计与理论,天津大学
同济大学,张洁,地质工程,同济大学
同济大学,张勇,遗传学,同济大学
同济大学,周颖,防灾减灾工程及防护工程,同济大学
武汉大学,黄志雄,国际法学(含国际公法学、国际私法学、国际经济法学),武汉大学
武汉大学,李青原,会计学,武汉大学
武汉大学,楼益栋,大地测量学与测量工程,武汉大学
武汉大学,吕锡亮,计算数学,武汉大学
武汉大学,吴丹,图书馆学,武汉大学
武汉大学,熊伟,经济法学,武汉大学
武汉大学,乐鹏,地图制图学与地理信息工程,武汉大学
武汉大学,张洪艳,地球探测与信息技术,武汉大学
西安电子科技大学,张向荣,电路与系统,西安电子科技大学
西安交通大学,贺健康,机械制造及其自动化,西安交通大学
西安交通大学,沈少华,材料物理与化学,西安交通大学
西安交通大学,田文喜,核技术及应用,西安交通大学
西安交通大学,王小华,高电压与绝缘技术,西安交通大学
西安交通大学,赵永席,分析化学,西安交通大学
西北大学,Simon Williams,构造地质学,澳大利亚悉尼大学
西北大学,谷鹏飞,文艺学,西北大学
西北大学,梁海华,微生物学,西北大学
西北工业大学,万敏,航空宇航制造工程,西北工业大学
西北农林科技大学,陈帝伊,农业电气化与自动化,西北农林科技大学
西南财经大学,常晋源,统计学,西南财经大学
西南财经大学,肖峰,交通管理,西南财经大学
西南大学,白显良,思想政治教育,西南大学
西南大学,邱江,发展与教育心理学,西南大学
西南大学,温涛,农业经济管理学,西南大学
厦门大学,吴超鹏,企业管理学,厦门大学
厦门大学,叶龙武,有机化学,厦门大学
湘潭大学,李哲涛,计算机系统结构,湘潭大学
湘潭大学,杨丽,材料物理与化学,湘潭大学
新疆医科大学,李吉,皮肤病与性病学,中南大学
云南师范大学,尚轶,蔬菜学,云南师范大学
浙江大学,薄拯,工程热物理,浙江大学
